Código,Vendedor/Ano,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
METAS,2017,4309000.0,4274000.0,4208000.0,4690000.0,4608000.0,4403000.0,4306000.0,4498000.0,4478000.0,4748000.0,4556000.0,4603000.0
44,Vendedor 44,320000.0,0.0,320000.0,320000.0,320000.0,320000.0,320000.0,320000.0,320000.0,320000.0,320000.0,320000.0
92,Vendedor 92,0.0,263000.0,263000.0,263000.0,263000.0,263000.0,263000.0,263000.0,263000.0,263000.0,263000.0,263000.0
33,Vendedor 33,170000.0,170000.0,170000.0,170000.0,170000.0,170000.0,170000.0,170000.0,170000.0,170000.0,170000.0,170000.0
34,Vendedor 34,372000.0,372000.0,372000.0,372000.0,372000.0,372000.0,0.0,372000.0,372000.0,372000.0,0.0,372000.0
146,Vendedor 146,315000.0,315000.0,0.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0
140,Vendedor 140,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,0.0,180000.0,180000.0,180000.0,180000.0
165,Vendedor 165,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,0.0,180000.0,180000.0
155,Vendedor 155,238000.0,238000.0,238000.0,0.0,238000.0,238000.0,238000.0,238000.0,238000.0,238000.0,238000.0,238000.0
38,Vendedor 38,320000.0,320000.0,320000.0,320000.0,0.0,320000.0,320000.0,320000.0,320000.0,320000.0,320000.0,320000.0
81,Vendedor 81,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,0.0,450000.0,450000.0,450000.0
43,Vendedor 43,334000.0,0.0,334000.0,334000.0,334000.0,334000.0,334000.0,334000.0,334000.0,334000.0,334000.0,334000.0
32,Vendedor 32,200000.0,200000.0,200000.0,200000.0,200000.0,0.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0
47,Vendedor 47,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,0.0,250000.0,250000.0,250000.0,250000.0
49,Vendedor 49,325000.0,325000.0,325000.0,325000.0,325000.0,0.0,325000.0,325000.0,325000.0,325000.0,325000.0,0.0
114,Vendedor 114,0.0,356000.0,356000.0,356000.0,356000.0,356000.0,356000.0,356000.0,356000.0,356000.0,356000.0,356000.0
46,Vendedor 46,405000.0,405000.0,0.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0
153,Vendedor 153,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,0.0,250000.0,250000.0,250000.0,250000.0,250000.0
